Place,WeightClassKg,Division,Sex,Name,BirthYear,Country,BodyweightKg,Squat1Kg,Squat2Kg,Squat3Kg,BestSquatKg,Bench1Kg,Bench2Kg,Bench3Kg,BestBenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,BestDeadliftKg,TotalKg,Event,Equipment
9,75,Master 2,M,Norman Andersson,1937,GBR,73.9,160,170,175,175,110,115,120,120,170,180,190,190,480,SBD,Single-ply
10,75,Master 2,M,Karel Sourek,1943,GBR,73.8,140,150,160,160,100,100,107.5,107.5,190,205,210,210,465,SBD,Single-ply
11,75,Master 2,M,Hari Singh,1943,IND,73,150,150,160,160,100,100,105,105,170,190,195,195,455,SBD,Single-ply
DQ,75,Master 2,M,Robert Mild,1932,AUT,73.9,165,,175,175,,,,,,,,,,SBD,Single-ply
1,82.5,Master 2,M,Lars Augustsson,1944,SWE,81.4,260,285,292.5,292.5,160,170,177.5,177.5,230,250,260,260,722.5,SBD,Single-ply
2,82.5,Master 2,M,Martti Tikkamäki,1944,FIN,81.2,220,232.5,237.5,237.5,150,160,165,165,240,257.5,265,265,662.5,SBD,Single-ply
3,82.5,Master 2,M,Vyacheslav Bogomolov,1939,RUS,82.1,225,240,250,250,135,145,145,145,250,265,275,275,640,SBD,Single-ply
4,82.5,Master 2,M,Mick Hunnan,1945,GBR,81.1,215,225,232.5,232.5,150,160,165,165,227.5,237.5,250,250,627.5,SBD,Single-ply
5,82.5,Master 2,M,Toshihiko Satoh,1940,JPN,81.7,200,220,225,225,185,195,195,195,210,210,220,220,620,SBD,Single-ply
6,82.5,Master 2,M,Per Forslund,1943,SWE,81.9,215,225,230,230,135,142.5,147.5,147.5,220,230,,230,607.5,SBD,Single-ply
7,82.5,Master 2,M,Roland Bonner,1943,GBR,79.3,220,230,237.5,237.5,110,120,125,125,230,240,250,250,590,SBD,Single-ply
8,82.5,Master 2,M,Hans Wende,1944,GER,82,170,180,180,180,90,,,90,235,245,250,250,510,SBD,Single-ply
DQ,82.5,Master 2,M,Angel Liciaga,1935,PUR,81,237.5,242.5,247.5,247.5,137.5,137.5,137.5,137.5,,,,,,SBD,Single-ply
1,90,Master 2,M,Evgeniy Khokhlov,1941,RUS,89.5,250,270,280,280,150,160,160,160,260,270,280,280,720,SBD,Single-ply
2,90,Master 2,M,Dan Hamblet,1943,USA,89.5,237.5,252.5,262.5,262.5,155,160,162.5,162.5,275,292.5,310,310,705,SBD,Single-ply
3,90,Master 2,M,Mormitsu Tomiyama,1942,JPN,82.8,225,235,240,240,155,160,165,165,230,240,245,245,645,SBD,Single-ply
4,90,Master 2,M,Terje Brovold,1945,NOR,85.6,220,230,230,230,157.5,165,172.5,172.5,220,230,245,245,632.5,SBD,Single-ply
